[0.059s] Invoking command in '/home/student/pepper_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/student/pepper_ws/install/turtlebot3_teleop:/home/student/pepper_ws/install/turtlebot3_example:/home/student/pepper_ws/install/move_pepper:/home/student/ros2_ws/install/autonomous_tb3:/opt/ros/humble /usr/bin/cmake --build /home/student/pepper_ws/build/turtlebot3_description -- -j8 -l8
[0.160s] Invoked command in '/home/student/pepper_ws/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/student/pepper_ws/install/turtlebot3_teleop:/home/student/pepper_ws/install/turtlebot3_example:/home/student/pepper_ws/install/move_pepper:/home/student/ros2_ws/install/autonomous_tb3:/opt/ros/humble /usr/bin/cmake --build /home/student/pepper_ws/build/turtlebot3_description -- -j8 -l8
[0.295s] Invoking command in '/home/student/pepper_ws/build/turtlebot3_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/student/pepper_ws/install/turtlebot3_teleop:/home/student/pepper_ws/install/turtlebot3_example:/home/student/pepper_ws/install/move_pepper:/home/student/ros2_ws/install/autonomous_tb3:/opt/ros/humble /usr/bin/cmake --install /home/student/pepper_ws/build/turtlebot3_description
[0.329s] -- Install configuration: ""
[0.340s] -- Execute custom install script
[0.340s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base.stl
[0.341s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base.stl
[0.341s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base.stl
[0.341s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/astra.dae
[0.341s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/astra.jpg
[0.341s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/lds.stl
[0.341s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/r200.dae
[0.341s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/r200.jpg
[0.341s] -- Up-to-date symlink: /home/student/pepper_ws/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/left_tire.stl
